station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-04-30,15,11.6,,50
东城区,2026-04-30,16,15.1,,50
东城区,2026-04-30,17,16.8,,50
东城区,2026-04-30,18,17.1,,50
东城区,2026-04-30,19,24.7,,50
东城区,2026-04-30,20,23.4,,50
东城区,2026-04-30,21,29.9,,50
东城区,2026-04-30,22,38.9,,50
东城区,2026-04-30,23,36.4,,50
东城区,2026-05-01,0,32.8,,50
东城区,2026-05-01,1,40.5,,50
东城区,2026-05-01,2,42.4,,50
东城区,2026-05-01,3,35.8,,50
东城区,2026-05-01,4,24.7,,50
东城区,2026-05-01,5,31.3,,50
东城区,2026-05-01,6,31.6,,50
东城区,2026-05-01,7,32.6,,50
东城区,2026-05-01,8,27.2,,50
东城区,2026-05-01,9,33.5,,50
东城区,2026-05-01,10,35.8,,50
东城区,2026-05-01,11,30.4,,50
东城区,2026-05-01,12,27.3,,50
东城区,2026-05-01,13,28.0,,50
东城区,2026-05-01,14,29.5,,50
